from_id,knowledgeunit,rel,knowledgepoint,to_id
176,并行计算概述,contain,并行计算概念,752
176,并行计算概述,contain,并行计算应用领域,753
176,并行计算概述,contain,域分解,754
176,并行计算概述,contain,任务解,755
177,并行计算的性能评测,contain,并行计算的性能,756
177,并行计算的性能评测,contain,内存系统对性能的影响,757
177,并行计算的性能评测,contain,加速比定律,758
178,并行计算硬件环境,contain,多核处理器,759
178,并行计算硬件环境,contain,内存访问模式,760
178,并行计算硬件环境,contain,并行计算系统的分类,761
179,多线程并行程序设计,contain,多线程基本概念,762
179,多线程并行程序设计,contain,多线程计算实例分析,763
179,多线程并行程序设计,contain,PThread多线程,764
179,多线程并行程序设计,contain,Java多线程,765
180,OpenMP,contain,OpenMP的编程模型,766
180,OpenMP,contain,编译制导语句,767
181,GPU编程,contain,GPU体系结构,768
181,GPU编程,contain,CUDA程序设计方法,769
182,MPI分布式编程,contain,MPI概述,770
182,MPI分布式编程,contain,点到点通信,771
182,MPI分布式编程,contain,组通信,772
182,MPI分布式编程,contain,MPI数据类型,773
183,MPI多级混合编程,contain,MPI+OpenMP混合编程,774
183,MPI多级混合编程,contain,MPI+CUDA混合编程,775
184,MapReduce编程,contain,MapReduce背景介绍,776
184,MapReduce编程,contain,MapReduce编程模型,777
184,MapReduce编程,contain,Hadoop/YARN,778
185,并行程序设计方法学,contain,PCAM方法学,779
185,并行程序设计方法学,contain,并行编程模型,780
186,Spark编程,contain,Spark概述,781
186,Spark编程,contain,Spark框架介绍,782
186,Spark编程,contain,Spark编程模型,783
187,PCAM方法学,contain,划分(Partitioning),784
187,PCAM方法学,contain,通讯(Communication),785
187,PCAM方法学,contain,组合(Agglomeration),786
187,PCAM方法学,contain,映射(Mapping),787
188,构造性逻辑,contain,证明构造性的定义,788
188,构造性逻辑,contain,构造性赋值与蕴含,789
188,构造性逻辑,contain,构造性逻辑的语法与形式推演,790
188,构造性逻辑,contain,构造性逻辑与经典逻辑的区别,791
189,布尔代数,contain,多运算代数系统定义和性质,792
189,布尔代数,contain,格与子格的定义和性质,793
189,布尔代数,contain,分配格与有补格的定义和性质,794
189,布尔代数,contain,布尔代数的定义和性质,795
189,布尔代数,contain,布尔表达式的定义和性质,796
190,图与网络流,contain,网络流及最大流的定义,797
190,图与网络流,contain,最小割的求解,798
190,图与网络流,contain,有界网络流,799
190,图与网络流,contain,最小费用最大流,800
191,图的连通性,contain,无向图的连通性的特殊性质,801
191,图的连通性,contain,有向图的连通性的特殊性质,802
192,图的支配、覆盖、独立与匹配,contain,支配和覆盖的定义,803
192,图的支配、覆盖、独立与匹配,contain,鸽巢原理与拉姆齐数,804
192,图的支配、覆盖、独立与匹配,contain,点的支配、覆盖和独立,805
192,图的支配、覆盖、独立与匹配,contain,边的覆盖和独立,806
192,图的支配、覆盖、独立与匹配,contain,匹配与因子分解,807
193,图谱与复杂网络,contain,图的特征值与拉普拉斯型,808
193,图谱与复杂网络,contain,邻接矩阵与关联矩阵相关算法,809
193,图谱与复杂网络,contain,复杂网络的基本特征,810
194,云计算概念,contain,计算系统的历史，网格和云,811
194,云计算概念,contain,云计算的服务模型和部署模型,812
195,云计算基础,contain,通信,813
195,云计算基础,contain,时间,814
